YEAR,HWTSUPP,ASECFLAG,HFLAG,HHBRACKET99,CPI99,MONTH,WTSUPP,NRESP
1968,1687395.96,NA,NA,57000,4.988,3,1690018.74,1324
1968,1897593.49,NA,NA,58000,4.988,3,1906043.91,1476
1968,1599337.74,NA,NA,59000,4.988,3,1612404.65,1215
1968,2859484.16,NA,NA,60000,4.988,3,2858006.34,2219
1968,1845990.33,NA,NA,61000,4.988,3,1852641.79,1435
1968,1554068.3,NA,NA,62000,4.988,3,1566776.54,1224
1968,1693686.34,NA,NA,63000,4.988,3,1702021.6,1303
1968,1198888.74,NA,NA,64000,4.988,3,1206074.93,940
1968,2141114.04,NA,NA,65000,4.988,3,2142965.04,1641
1968,1318981.56,NA,NA,66000,4.988,3,1317024,1018
1968,1237705.51,NA,NA,67000,4.988,3,1241557.11,942
1968,1248983.36,NA,NA,68000,4.988,3,1260067.31,947
1968,966958.79,NA,NA,69000,4.988,3,969615.25,753
1968,1782976.03,NA,NA,70000,4.988,3,1788877.63,1320
1968,1031734.92,NA,NA,71000,4.988,3,1033941.63,817
1968,916899.74,NA,NA,72000,4.988,3,917951.55,708
1968,1123344.7,NA,NA,73000,4.988,3,1131918.68,874
1968,684180.56,NA,NA,74000,4.988,3,688881.27,546
1968,1650726.51,NA,NA,75000,4.988,3,1656467.75,1279
1968,975862.31,NA,NA,76000,4.988,3,978948.02,769
1968,779017.12,NA,NA,77000,4.988,3,785321.13,615
1968,942467.55,NA,NA,78000,4.988,3,950611.63,704
1968,598140.04,NA,NA,79000,4.988,3,599227.95,469
1968,1011735.55,NA,NA,80000,4.988,3,1012650.65,792
1968,729404.79,NA,NA,81000,4.988,3,742482.38,569
1968,520620.7,NA,NA,82000,4.988,3,520812.47,411
1968,685586.8,NA,NA,83000,4.988,3,693260.04,544
1968,458998.87,NA,NA,84000,4.988,3,462400.94,368
1968,719951.59,NA,NA,85000,4.988,3,726956.55,561
1968,467506.79,NA,NA,86000,4.988,3,475604.81,356
1968,460163.46,NA,NA,87000,4.988,3,465890.5,364
1968,570272,NA,NA,88000,4.988,3,574061.38,440
1968,412156.9,NA,NA,89000,4.988,3,423689.93,331
1968,644404.73,NA,NA,90000,4.988,3,649519.6,504
1968,427571.7,NA,NA,91000,4.988,3,433655.53,329
1968,292957.71,NA,NA,92000,4.988,3,291367.37,228
1968,387254.17,NA,NA,93000,4.988,3,389374.26,306
1968,283843.67,NA,NA,94000,4.988,3,287979.12,228
1968,416846.08,NA,NA,95000,4.988,3,422190.99,319
1968,312695.67,NA,NA,96000,4.988,3,315368.13,250
1968,296646.66,NA,NA,97000,4.988,3,297219.82,215
1968,317420.45,NA,NA,98000,4.988,3,322496.67,248
1968,184404.89,NA,NA,99000,4.988,3,187866.65,142
1968,548048.36,NA,NA,1e+05,4.988,3,548590.47,422
1968,376372.37,NA,NA,101000,4.988,3,375986.02,274
1968,211076.04,NA,NA,102000,4.988,3,211514.31,167
1968,298300.54,NA,NA,103000,4.988,3,298845.89,229
1968,320258.2,NA,NA,104000,4.988,3,321410.89,250
1968,329724.36,NA,NA,105000,4.988,3,332462.49,244
1968,239349.34,NA,NA,106000,4.988,3,239352.75,185
1968,172425.37,NA,NA,107000,4.988,3,173583.8,134
1968,230984.76,NA,NA,108000,4.988,3,232186.9,175
1968,254631.57,NA,NA,109000,4.988,3,257635.8,202
1968,259646.49,NA,NA,110000,4.988,3,265099.78,203
1968,148576.03,NA,NA,111000,4.988,3,152856.7,113
1968,138796.24,NA,NA,112000,4.988,3,137783.56,109
1968,189029.05,NA,NA,113000,4.988,3,194047.84,152
1968,105235.84,NA,NA,114000,4.988,3,108895.3,84
1968,251004.03,NA,NA,115000,4.988,3,253306.86,190
1968,165253.54,NA,NA,116000,4.988,3,164889.18,124
1968,77371.91,NA,NA,117000,4.988,3,77813.1,62
1968,138013.83,NA,NA,118000,4.988,3,139148.92,106
1968,77796.98,NA,NA,119000,4.988,3,82551.47,62
1968,185261.73,NA,NA,120000,4.988,3,186237.84,137
